1.1, Explore Visible Content
1.1.1, Confi gure your browser to use your favorite integrated proxy/spideringtool. Both Burp and WebScarab can be used to passively spider the siteby monitoring and parsing web content processed by the proxy.
1.1.2, If you fi nd it useful confi gure your browser to use an extension suchas IEWatch to monitor and analyze the HTTP and HTML content beingprocessed by the browser.
1.1.3, Browse the entire application in the normal way visiting every link andURL submitting every form and proceeding through all multistep functionsto completion. Try browsing with JavaScript enabled and disabledand with cookies enabled and disabled. Many applications can handlevarious browser confi gurations and you may reach different contentand code paths within the application.
1.1.4, If the application uses authentication and you have or can create a loginaccount use this to access the protected functionality.
1.1.5, As you browse monitor the requests and responses passing throughyour intercepting proxy to gain an understanding of the kinds of databeing submitted and the ways in which the client is used to control thebehavior of the server-side application.
1.1.6, Review the site map generated by the passive spidering and identify anycontent or functionality that you have not walked through using yourbrowser. From the spider results establish where each item was discovered(for example in Burp Spider check the Linked From details). Accesseach item using your browser so that the spider parses the response fromthe server to identify any further content. Continue this step recursivelyuntil no further content or functionality is identifi ed.
1.1.7, When you have fi nished manually browsing and passively spideringyou can use your spider to actively crawl the application using the setof discovered URLs as seeds. This may sometimes uncover additionalcontent that you overlooked when working manually. Before doing anautomated crawl fi rst identify any URLs that are dangerous or likely tobreak the application session and then confi gure the spider to excludethese from its scope.
1.2, Consult Public Resources
1.2.1, Use Internet search engines and archives (such as the Wayback Machine)to identify what content they have indexed and stored for your targetapplication.
1.2.2, Use advanced search options to improve the effectiveness of your research.For example on Google you can use site: to retrieve all the content foryour target site and link: to retrieve other sites that link to it. If yoursearch identifi es content that is no longer present in the live applicationyou may still be able to view this from the search engine’s cache. Thisold content may contain links to additional resources that have not yetbeen removed.
1.2.3, Perform searches on any names and e-mail addresses you have discoveredin the application’s content such as contact information. Includeitems not rendered on-screen such as HTML comments. In addition toweb searches perform news and group searches. Look for any technicaldetails posted to Internet forums regarding the target application andits supporting infrastructure.
1.2.4, Review any published WSDL fi les to generate a list of function namesand parameter values potentially employed by the application.
1.3, Discover Hidden Content
1.3.1, Confi rm how the application handles requests for nonexistent items.Make some manual requests for known valid and invalid resourcesand compare the server’s responses to establish an easy way to identifywhen an item does not exist.
1.3.2, Obtain listings of common fi le and directory names and common fi leextensions. Add to these lists all the items actually observed within theapplications and also items inferred from these. Try to understand thenaming conventions used by application developers. For example ifthere are pages called AddDocument.jsp and ViewDocument.jsp theremay also be pages called EditDocument.jsp and RemoveDocument.jsp.Chapter 21 n A Web Application Hacker’s Methodology 797
1.3.3, Review all client-side code to identify any clues about hidden server-sidecontent including HTML comments and disabled form elements.
1.3.4, Using the automation techniques described in Chapter 14 make largenumbers of requests based on your directory fi lename and fi le extensionlists. Monitor the server’s responses to confi rm which items are presentand accessible.
1.3.5, Perform these content-discovery exercises recursively using new enumeratedcontent and patterns as the basis for further user-directed spideringand further automated discovery.
1.4, Discover Default Content
1.4.1, Run Nikto against the web server to detect any default or well-knowncontent that is present. Use Nikto’s options to maximize its effectiveness.For example you can use the –root option to specify a directoryto check for default content or -404 to specify a string that identifi es acustom File Not Found page.
1.4.2, Verify any potentially interesting fi ndings manually to eliminate anyfalse positives within the results.
1.4.3, Request the server’s root directory specifying the IP address in theHost header and determine if the application responds with any differentcontent. If so run a Nikto scan against the IP address as well asthe server name.
1.4.4, Make a request to the server’s root directory specifying a range ofUser-Agent headers as shown at www.useragentstring.com/pages/useragentstring.php.
1.5, Enumerate Identifi er-Specifi ed Functions
1.5.1, Identify any instances where specifi c application functions are accessed bypassing an identifi er of the function in a request parameter (for example/admin.jsp?action=editUser or /main.php?func=A21).
1.5.2, Apply the content discovery techniques used in step 1.3 to the mechanismbeing used to access individual functions. For example if the applicationuses a parameter containing a function name fi rst determine itsbehavior when an invalid function is specifi ed and try to establish aneasy way to identify when a valid function has been requested. Compilea list of common function names or cycle through the syntactic range ofidentifi ers observed to be in use. Automate the exercise to enumeratevalid functionality as quickly and easily as possible.
1.5.3, If applicable compile a map of application content based on functional pathsrather than URLs showing all the enumerated functions and the logicalpaths and dependencies between them. (See Chapter 4 for an example.)
1.6, Test for Debug Parameters
1.6.1, Choose one or more application pages or functions where hidden debugparameters (such as debug=true) may be implemented. These are mostlikely to appear in key functionality such as login search and fi le uploador download.
1.6.2, Use listings of common debug parameter names (such as debug testhide and source) and common values (such as true yes on and 1).Iterate through all permutations of these submitting each name/valuepair to each targeted function. For POST requests supply the parameterin both the URL query string and the request body. Use the techniquesdescribed in Chapter 14 to automate this exercise. For example youcan use the cluster bomb attack type in Burp Intruder to combine allpermutations of two payload lists.
1.6.3, Review the application’s responses for any anomalies that may indicatethat the added parameter has had an effect on the application’s processing.
2.1, Identify Functionality
2.1.1, Identify the core functionality that the application was created for andthe actions that each function is designed to perform when used asintended.
2.1.2, Identify the core security mechanisms employed by the application andhow they work. In particular understand the key mechanisms that handleChapter 21 n A Web Application Hacker’s Methodology 799authentication session management and access control and the functionsthat support them such as user registration and account recovery.
2.1.3, Identify all the more peripheral functions and behavior such as the useof redirects off-site links error messages and administrative and loggingfunctions.
2.1.4, Identify any functionality that diverges from the standard GUI appearanceparameter naming or navigation mechanism used elsewhere inthe application and single it out for in-depth testing.
2.2, Identify Data Entry Points
2.2.1, Identify all the different entry points that exist for introducing userinput into the application’s processing including URLs query stringparameters POST data cookies and other HTTP headers processed bythe application.
2.2.2, Examine any customized data transmission or encoding mechanismsused by the application such as a nonstandard query string format.Understand whether the data being submitted encapsulates parameternames and values or whether an alternative means of representationis being used.
2.2.3, Identify any out-of-band channels via which user-controllable or otherthird-party data is being introduced into the application’s processing.An example is a web mail application that processes and renders messagesreceived via SMTP.
2.3, Identify the Technologies Used
2.3.1, Identify each of the different technologies used on the client side such asforms scripts cookies Java applets ActiveX controls and Flash objects.
2.3.2, As far as possible establish which technologies are being used on theserver side including scripting languages application platforms andinteraction with back-end components such as databases and e-mailsystems.
2.3.3, Check the HTTP Server header returned in application responses andalso check for any other software identifi ers contained within customHTTP headers or HTML source code comments. Note that in some casesdifferent areas of the application are handled by different back-endcomponents so different banners may be received.
2.3.4, Run the Httprint tool to fi ngerprint the web server.
2.3.5, Review the results of your content-mapping exercises to identify anyinteresting-looking fi le extensions directories or other URL subsequences
2.3.6, Identify any interesting-looking script names and query string parametersthat may belong to third-party code components. Search for these onGoogle using the inurl: qualifi er to fi nd any other applications usingthe same scripts and parameters and that therefore may be using thesame third-party components. Perform a noninvasive review of thesesites because this may uncover additional content and functionality thatis not explicitly linked on the application you are attacking.
2.4, Map the Attack Surface
2.4.1, Try to ascertain the likely internal structure and functionality of theserver-side application and the mechanisms it uses behind the scenesto deliver the behavior that is visible from the client perspective. Forexample a function to retrieve customer orders is likely to be interactingwith a database.
2.4.2, For each item of functionality identify the kinds of common vulnerabilitiesthat are often associated with it. For example fi le upload functions maybe vulnerable to path traversal inter-user messaging may be vulnerableto XSS and Contact Us functions may be vulnerable to SMTP injection.See Chapter 4 for examples of vulnerabilities commonly associated withparticular functions and technologies.
2.4.3, Formulate a plan of attack prioritizing the most interesting-lookingfunctionality and the most serious of the potential vulnerabilities associatedwith it. Use your plan to guide the amount of time and effort youdevote to each of the remaining areas of this methodology.
3.1, Test Transmission of Data Via the Client
3.1.1, Locate all instances within the application where hidden form fi eldscookies and URL parameters are apparently being used to transmitdata via the client.
3.1.2, Attempt to determine the purpose that the item plays in the application’slogic based on the context in which it appears and on its nameand value.
3.1.3, Modify the item’s value in ways that are relevant to its role in theapplication’s functionality. Determine whether the application processesarbitrary values submitted in the fi eld and whether this factcan be exploited to interfere with the application’s logic or subvertany security controls.
3.1.4, If the application transmits opaque data via the client you can attack thisin various ways. If the item is obfuscated you may be able to decipherthe obfuscation algorithm and therefore submit arbitrary data within theopaque item. Even if it is securely encrypted you may be able to replaythe item in other contexts to interfere with the application’s logic. SeeChapter 5 for more details on these and other attacks.
3.1.5, If the application uses the ASP.NET ViewState test to confi rm whetherthis can be tampered with or whether it contains any sensitive information.Note that the ViewState may be used differently on differentapplication pages.
3.1.5.1, Use the ViewState analyzer in Burp Suite to confi rm whetherthe EnableViewStateMac option has been enabled meaningthat the ViewState’s contents cannot be modifi ed.
3.1.5.2, Review the decoded ViewState to identify any sensitive data itcontains.
3.1.5.3, Modify one of the decoded parameter values and reencode andsubmit the ViewState. If the application accepts the modifi edvalue you should treat the ViewState as an input channel forintroducing arbitrary data into the application’s processing.Perform the same testing on the data it contains as you wouldfor any other request parameters.
3.2, Test Client-Side Controls Over User Input
3.2.1, Identify any cases where client-side controls such as length limits andJavaScript checks are used to validate user input before it is submitted
3.2.2, Test each affected input fi eld in turn by submitting input that wouldordinarily be blocked by the client-side controls to verify whether theseare replicated on the server.
